Grain Yield_15.5%mc_Kg ha-1,Max_LAI,Annual_ETc mm,Trt_code,Plant density plants ha-1,HI
14703.703735139932,3.9721098346343062,571.5789862338253,4,81556.03768518472,0.4980052307362758
15148.734247021192,4.701935550273705,567.214110744073,4,76961.33133672361,0.518785360236578
14720.415278496852,4.143698681220095,562.9699317943289,4,74001.28013146501,0.5061143427914756
12072.594233822709,3.952136339050228,523.2100454150113,5,81556.03768518472,0.5399090543144014
12780.58078868505,4.637290845443229,498.8206321380833,5,72366.62498826251,0.5293439805907558
13384.478159013039,4.207507956165912,496.58029841389657,5,75812.65474960834,0.5101732278153752
14026.814910954701,3.8914636920026884,501.88444110353095,5,75812.65474960834,0.5052143595983358
9454.05330096867,3.669093889961589,497.104719962132,6,75812.65474960834,0.5383211386297935
10519.857968704717,4.240854555459111,479.25471996213264,6,79258.68451095418,0.4879808618103757
11580.962405245336,4.079147392294784,503.8547199621319,6,82130.37597874238,0.4914568891055835
10846.03598194744,3.868552533325066,492.65471996213233,6,84427.72915297293,0.5241028256950327
15068.796353715403,4.461289320672392,549.9414890856215,7,77535.66963028125,0.5577204126726902
14551.541042311963,4.385743226575517,568.1850287433256,7,79833.0228045118,0.5513447270288883
15554.730616371793,4.331626873145051,563.5411090654866,7,79833.0228045118,0.556939846241042
15220.807837143844,4.401842219530251,552.3578299514279,7,74553.52849065505,0.5386684346484998
12699.116484259624,3.8729134138268275,536.6837383540473,8,80981.6993916271,0.5547651841033077
14247.599947248707,4.225532153953196,539.7203282403498,8,79833.0228045118,0.5500247785349537
14221.645189151288,4.248243895594868,549.8280936759627,8,80407.36109806945,0.5455306090445878
14443.081742289733,4.188377456754913,537.3552900927737,8,80981.6993916271,0.5096638276226815
10549.117903485661,4.12616406670395,501.2126981618797,9,77535.66963028125,0.49064339797213397
11876.964029555043,4.1193764099698935,488.4913515395262,9,80981.6993916271,0.5073380726966057
12719.228482476225,4.468973259002073,486.80774957316623,9,72940.96328182015,0.5389481805847625
13333.893067803498,4.255488372838815,497.3519958751726,9,81556.03768518472,0.5102424622090309
10316.717561907166,4.2581513433026865,461.75249066276933,10,78684.34621739654,0.4824954187876761
10237.512255450518,4.613841764456145,435.80249066276934,10,74663.97816249306,0.4943539531452404
11144.1380478884,4.505805264186286,444.55249066276946,10,75238.3164560507,0.5016709301483141
11894.656083103024,5.024241578044559,459.3524906627691,10,76961.33133672361,0.5254701389869485
11460.547303901758,3.8281919068893178,445.751970667106,11,76961.33133672361,0.5430049798421652
12165.842476270207,4.608221129199286,469.07843781327085,11,79907.93649497585,0.529717952425502
11837.767850190323,3.9979967580567,452.95996832198495,11,75812.65474960834,0.5498120189514264
12792.2111739619,4.318540927384076,447.66434112343376,11,76961.33133672361,0.5286528657559657
8297.30844470992,3.9104113418230133,415.91491104493497,12,76386.99304316599,0.5217580181414324
8106.485166535098,4.639490766114865,420.8649110449348,12,75812.65474960834,0.4856416911582445
9297.508254714892,5.438416795833591,428.0149110449349,12,80407.36109806945,0.5206824656342735
